author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Рыков Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/315459705/,Москва,sale,flat,11,18,1,39.1,-1,0,10500000,Западное Дегунино, Ивана Сусанина,8К1,Моссельмаш,
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/304779000/,Москва,sale,flat,9,31,1,45.3,-1,0,23900000,Филевский парк,Береговой проезд,5к1,Фили,Фили Град
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/313207708/,Москва,sale,flat,3,5,1,30.6,-1,0,13000000,Дмитровский,Икшинская ,10,Яхромская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/317900874/,Москва,sale,flat,4,9,1,33.0,-1,0,9650000,Теплый Стан,Профсоюзная ,156К1,Тёплый Стан,
RND,real_estate_agent,https://www.cian.ru/sale/flat/313345962/,Москва,sale,flat,4,56,1,50.3,-1,0,22500000,Раменки,проспект Генерала Дорохова,вл1к3,Аминьевская,Will Towers
ONE Company,real_estate_agent,https://www.cian.ru/sale/flat/308100205/,Москва,sale,flat,24,24,1,21.0,-1,0,15590000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Совкомбанк,official_representative,https://www.cian.ru/sale/flat/303370489/,Москва,sale,flat,3,3,1,44.9,-1,0,5700000,, Южная,12,Крёкшино,
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/310068451/,Москва,sale,flat,9,12,1,36.8,-1,0,20000000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/307275502/,Москва,sale,flat,2,12,1,41.0,-1,0,11500000,Соколиная гора,Вольная ,4,Семёновская,
ДОМЛАБ,real_estate_agent,https://www.cian.ru/sale/flat/316346770/,Москва,sale,flat,2,20,1,45.0,-1,0,18800000,Марьина роща,Анненская ,6,Марьина Роща,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253236/,Москва,sale,flat,4,4,1,42.1,-1,0,18500000,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317752563/,Москва,sale,flat,20,58,1,37.5,-1,0,24500000,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,Wellton Towers
МРИЭЛТОР - офис Отрадное,real_estate_agent,https://www.cian.ru/sale/flat/317763770/,Москва,sale,flat,5,5,1,32.0,-1,0,8450000,Ростокино,Малахитовая ,21,Ростокино,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/317500634/,Москва,sale,flat,2,5,1,30.0,-1,0,12900000,Головинский,Солнечногорская ,15К1,Моссельмаш,
REPLACE,real_estate_agent,https://www.cian.ru/sale/flat/316499109/,Москва,sale,flat,11,21,1,41.5,-1,0,39000000,Пресненский,Мантулинская ,9к2,Москва-Сити,City Park
